OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_215	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Thelephorales	Thelephorales	Thelephorales	Thelephorales	Thelephoraceae	Thelephoraceae	Thelephoraceae	Thelephoraceae		Tomentella	Tomentella	Tomentella				
OTU_216	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales	Cystofilobasidiales	Cystofilobasidiales	Mrakiaceae	Mrakiaceae	Mrakiaceae	Mrakiaceae	Tausonia		Tausonia	Tausonia	Tausonia pullulans			Tausonia pullulans
OTU_217	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricales	Agaricales	Agaricales	Agaricales												
OTU_218	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes			Cantharellales	Cantharellales			Clavulinaceae	Clavulinaceae								
OTU_219	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideales	Dothideales	Dothideales	Dothideales	Dothioraceae	Dothioraceae	Dothioraceae	Dothioraceae	Dothiora	Dothiora	Dothiora	Dothiora	Dothiora prunorum			Dothiora prunorum
OTU_220	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariales	Sordariales	Sordariales	Sordariales	Chaetomiaceae	Chaetomiaceae	Chaetomiaceae	Chaetomiaceae								
OTU_221	Fungi	Fungi	Fungi	Fungi	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Spizellomycetes	Spizellomycetes	Spizellomycetes	Spizellomycetes	Spizellomycetales	Spizellomycetales	Spizellomycetales	Spizellomycetales	Spizellomycetaceae	Spizellomycetaceae	Spizellomycetaceae	Spizellomycetaceae	Spizellomyces	Spizellomyces	Spizellomyces	Spizellomyces	Spizellomyces dolichospermus	Spizellomyces dolichospermus		Spizellomyces dolichospermus
OTU_222	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Sebacinales	Sebacinales	Sebacinales	Sebacinales	Sebacinaceae	Sebacinaceae	Sebacinaceae	Sebacinaceae	Helvellosebacina	Helvellosebacina	Helvellosebacina	Helvellosebacina				
OTU_223	Fungi	Fungi	Fungi	Fungi	Rozellomycota	Rozellomycota	Rozellomycota	Rozellomycota	Incertae_sedis	Incertae_sedis		Incertae_sedis	Gs11	GS11														
OTU_224	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Venturiales	Venturiales	Venturiales	Venturiales	Venturiaceae	Venturiaceae	Venturiaceae	Venturiaceae								
