database,partition_level,k_iteration,conf,max_hits,classifier,sensitivity,MC,OC,EPQ
unite,fam,3,0.6,20,RDP,0.7026,0.2974,0.1245,0.248
unite,fam,3,0.6,20,BLAST,0.7192,0.2808,0.064,0.21885714285714286
unite,fam,3,0.6,20,SINTAX,0.697,0.303,0.044,0.229
unite,fam,3,0.6,20,Consensus,0.7348,0.2652,0.179,0.24057142857142857
unite,fam,3,0.8,1,RDP,0.656,0.344,0.0675,0.265
unite,fam,3,0.8,1,BLAST,0.7506,0.2494,0.469,0.31214285714285717
unite,fam,3,0.8,1,SINTAX,0.6614,0.3386,0.0275,0.24971428571428572
unite,fam,3,0.8,1,Consensus,0.7502,0.2498,0.47,0.3127142857142857
unite,fam,3,0.8,3,RDP,0.656,0.344,0.0675,0.265
unite,fam,3,0.8,3,BLAST,0.7214,0.2786,0.0575,0.21542857142857144
unite,fam,3,0.8,3,SINTAX,0.6614,0.3386,0.0275,0.24971428571428572
unite,fam,3,0.8,3,Consensus,0.7342,0.2658,0.118,0.22357142857142856
unite,fam,3,0.8,5,RDP,0.656,0.344,0.0675,0.265
unite,fam,3,0.8,5,BLAST,0.7238,0.2762,0.055,0.213
unite,fam,3,0.8,5,SINTAX,0.6614,0.3386,0.0275,0.24971428571428572
unite,fam,3,0.8,5,Consensus,0.7338,0.2662,0.1145,0.22285714285714286
unite,fam,3,0.8,10,RDP,0.656,0.344,0.0675,0.265
unite,fam,3,0.8,10,BLAST,0.7128,0.2872,0.03,0.21371428571428572
unite,fam,3,0.8,10,SINTAX,0.6614,0.3386,0.0275,0.24971428571428572
unite,fam,3,0.8,10,Consensus,0.7302,0.2698,0.098,0.22071428571428572
unite,fam,3,0.8,20,RDP,0.656,0.344,0.0675,0.265
unite,fam,3,0.8,20,BLAST,0.7056,0.2944,0.021,0.21628571428571428
unite,fam,3,0.8,20,SINTAX,0.6614,0.3386,0.0275,0.24971428571428572
unite,fam,3,0.8,20,Consensus,0.728,0.272,0.0915,0.22042857142857142
unite,fam,3,1.0,5,RDP,0.4896,0.5104,0.0165,0.3692857142857143
unite,fam,3,1.0,5,BLAST,0.698,0.302,0.021,0.22171428571428572
unite,fam,3,1.0,5,SINTAX,0.459,0.541,0.007,0.3884285714285714
unite,fam,3,1.0,5,Consensus,0.7126,0.2874,0.037,0.21585714285714286
unite,fam,3,1.0,20,RDP,0.4898,0.5102,0.0165,0.36914285714285716
unite,fam,3,1.0,20,BLAST,0.6486,0.3514,0.003,0.25185714285714284
unite,fam,3,1.0,20,SINTAX,0.459,0.541,0.007,0.3884285714285714
unite,fam,3,1.0,20,Consensus,0.6832,0.3168,0.023,0.23285714285714285
unite,fam,4,0.2,5,RDP,0.764,0.236,0.32,0.26
unite,fam,4,0.2,5,BLAST,0.7714,0.2286,0.6785,0.35714285714285715
unite,fam,4,0.2,5,SINTAX,0.7614,0.2386,0.1555,0.21485714285714286
unite,fam,4,0.2,5,Consensus,0.7662,0.2338,0.58,0.33271428571428574
unite,fam,4,0.2,20,RDP,0.764,0.236,0.3205,0.2601428571428571
unite,fam,4,0.2,20,BLAST,0.7604,0.2396,0.55,0.3282857142857143
unite,fam,4,0.2,20,SINTAX,0.7614,0.2386,0.1555,0.21485714285714286
unite,fam,4,0.2,20,Consensus,0.762,0.238,0.616,0.346
unite,fam,4,0.4,5,RDP,0.7564,0.2436,0.1975,0.23042857142857143
unite,fam,4,0.4,5,BLAST,0.7632,0.2368,0.451,0.298
unite,fam,4,0.4,5,SINTAX,0.7534,0.2466,0.0925,0.20257142857142857
unite,fam,4,0.4,5,Consensus,0.7616,0.2384,0.482,0.308
unite,fam,4,0.4,20,RDP,0.7564,0.2436,0.197,0.2302857142857143
unite,fam,4,0.4,20,BLAST,0.7618,0.2382,0.2095,0.23
unite,fam,4,0.4,20,SINTAX,0.7534,0.2466,0.0925,0.20257142857142857
unite,fam,4,0.4,20,Consensus,0.7652,0.2348,0.3725,0.27414285714285713
unite,fam,4,0.6,5,RDP,0.7464,0.2536,0.132,0.21885714285714286
unite,fam,4,0.6,5,BLAST,0.7632,0.2368,0.145,0.21057142857142858
unite,fam,4,0.6,5,SINTAX,0.7338,0.2662,0.0435,0.20257142857142857
unite,fam,4,0.6,5,Consensus,0.7636,0.2364,0.2445,0.2387142857142857
unite,fam,4,0.6,20,RDP,0.7464,0.2536,0.132,0.21885714285714286
unite,fam,4,0.6,20,BLAST,0.7518,0.2482,0.0575,0.19371428571428573
unite,fam,4,0.6,20,SINTAX,0.7338,0.2662,0.0435,0.20257142857142857
unite,fam,4,0.6,20,Consensus,0.7656,0.2344,0.1785,0.21842857142857142
unite,fam,4,0.8,1,RDP,0.7206,0.2794,0.083,0.22328571428571428
unite,fam,4,0.8,1,BLAST,0.7706,0.2294,0.453,0.29328571428571426
unite,fam,4,0.8,1,SINTAX,0.6984,0.3016,0.022,0.22171428571428572
unite,fam,4,0.8,1,Consensus,0.7722,0.2278,0.4455,0.29
unite,fam,4,0.8,3,RDP,0.7206,0.2794,0.083,0.22328571428571428
unite,fam,4,0.8,3,BLAST,0.7442,0.2558,0.0365,0.19314285714285714
unite,fam,4,0.8,3,SINTAX,0.6984,0.3016,0.022,0.22171428571428572
unite,fam,4,0.8,3,Consensus,0.7576,0.2424,0.1145,0.20585714285714285
unite,fam,4,0.8,5,RDP,0.7206,0.2794,0.083,0.22328571428571428
unite,fam,4,0.8,5,BLAST,0.7492,0.2508,0.04,0.19057142857142856
unite,fam,4,0.8,5,SINTAX,0.6984,0.3016,0.022,0.22171428571428572
unite,fam,4,0.8,5,Consensus,0.7584,0.2416,0.116,0.2057142857142857
unite,fam,4,0.8,10,RDP,0.7206,0.2794,0.083,0.22328571428571428
unite,fam,4,0.8,10,BLAST,0.7482,0.2518,0.027,0.18757142857142858
unite,fam,4,0.8,10,SINTAX,0.6984,0.3016,0.022,0.22171428571428572
unite,fam,4,0.8,10,Consensus,0.7556,0.2444,0.1075,0.2052857142857143
unite,fam,4,0.8,20,RDP,0.7206,0.2794,0.083,0.22328571428571428
unite,fam,4,0.8,20,BLAST,0.7358,0.2642,0.0205,0.19457142857142856
unite,fam,4,0.8,20,SINTAX,0.6984,0.3016,0.022,0.22171428571428572
unite,fam,4,0.8,20,Consensus,0.7568,0.2432,0.1025,0.203
unite,fam,4,1.0,5,RDP,0.5784,0.4216,0.025,0.3082857142857143
unite,fam,4,1.0,5,BLAST,0.7272,0.2728,0.0145,0.199
unite,fam,4,1.0,5,SINTAX,0.5056,0.4944,0.0055,0.3547142857142857
unite,fam,4,1.0,5,Consensus,0.7402,0.2598,0.0395,0.19685714285714287
unite,fam,4,1.0,20,RDP,0.5784,0.4216,0.025,0.3082857142857143
unite,fam,4,1.0,20,BLAST,0.6674,0.3326,0.0005,0.2377142857142857
unite,fam,4,1.0,20,SINTAX,0.5056,0.4944,0.0055,0.3547142857142857
unite,fam,4,1.0,20,Consensus,0.7134,0.2866,0.0265,0.21228571428571427
unite,gen,0,0.2,5,RDP,0.8105,0.1895,0.384,0.21728571428571428
unite,gen,0,0.2,5,BLAST,0.7943333333333333,0.20566666666666666,0.718,0.27885714285714286
unite,gen,0,0.2,5,SINTAX,0.8055,0.1945,0.0,0.1667142857142857
unite,gen,0,0.2,5,Consensus,0.7971666666666667,0.20283333333333334,0.471,0.24114285714285713
unite,gen,0,0.2,20,RDP,0.8105,0.1895,0.387,0.21771428571428572
unite,gen,0,0.2,20,BLAST,0.7746666666666666,0.22533333333333333,0.17,0.21742857142857142
unite,gen,0,0.2,20,SINTAX,0.8055,0.1945,0.0,0.1667142857142857
unite,gen,0,0.2,20,Consensus,0.7923333333333333,0.20766666666666667,0.425,0.2387142857142857
unite,gen,0,0.4,5,RDP,0.8043333333333333,0.19566666666666666,0.246,0.20285714285714285
unite,gen,0,0.4,5,BLAST,0.7965,0.2035,0.258,0.2112857142857143
unite,gen,0,0.4,5,SINTAX,0.796,0.204,0.0,0.17485714285714285
unite,gen,0,0.4,5,Consensus,0.7976666666666666,0.20233333333333334,0.376,0.22714285714285715
unite,gen,0,0.4,20,RDP,0.8043333333333333,0.19566666666666666,0.246,0.20285714285714285
unite,gen,0,0.4,20,BLAST,0.7781666666666667,0.22183333333333333,0.009,0.19142857142857142
unite,gen,0,0.4,20,SINTAX,0.796,0.204,0.0,0.17485714285714285
unite,gen,0,0.4,20,Consensus,0.798,0.202,0.251,0.209
unite,gen,0,0.6,5,RDP,0.7938333333333333,0.20616666666666666,0.149,0.198
unite,gen,0,0.6,5,BLAST,0.8,0.2,0.047,0.17814285714285713
unite,gen,0,0.6,5,SINTAX,0.781,0.219,0.0,0.18771428571428572
unite,gen,0,0.6,5,Consensus,0.8016666666666666,0.19833333333333333,0.185,0.19642857142857142
unite,gen,0,0.6,20,RDP,0.7938333333333333,0.20616666666666666,0.15,0.19814285714285715
unite,gen,0,0.6,20,BLAST,0.765,0.235,0.001,0.20157142857142857
unite,gen,0,0.6,20,SINTAX,0.781,0.219,0.0,0.18771428571428572
unite,gen,0,0.6,20,Consensus,0.7981666666666667,0.20183333333333334,0.151,0.19457142857142856
unite,gen,0,0.8,1,RDP,0.7768333333333334,0.22316666666666668,0.091,0.2042857142857143
unite,gen,0,0.8,1,BLAST,0.81,0.19,0.478,0.23114285714285715
unite,gen,0,0.8,1,SINTAX,0.7486666666666667,0.25133333333333335,0.0,0.21542857142857144
unite,gen,0,0.8,1,Consensus,0.81,0.19,0.468,0.2297142857142857
unite,gen,0,0.8,3,RDP,0.7768333333333334,0.22316666666666668,0.091,0.2042857142857143
unite,gen,0,0.8,3,BLAST,0.7858333333333334,0.21416666666666667,0.009,0.18485714285714286
unite,gen,0,0.8,3,SINTAX,0.7486666666666667,0.25133333333333335,0.0,0.21542857142857144
