"","database","partition_level","region","k_iteration","classifier","Metric","value"
"345","unite","gen","ITS1",4,"UTAX","sensitivity",0.535275855951747
"346","unite","gen","ITS1",4,"UTAX","MC",0.464724144048253
"347","unite","gen","ITS1",4,"UTAX","OC",0.00585417775412453
"348","unite","gen","ITS1",4,"UTAX","EPQ",0.39917129172052
"349","unite","gen","ITS1",4,"CU","sensitivity",0.695494057122583
"350","unite","gen","ITS1",4,"CU","MC",0.304505942877417
"351","unite","gen","ITS1",4,"CU","OC",0.0436402341671102
"352","unite","gen","ITS1",4,"CU","EPQ",0.267239413061659
"353","unite","gen","ITS2",4,"UTAX","sensitivity",0.559918200408998
"354","unite","gen","ITS2",4,"UTAX","MC",0.440081799591002
"355","unite","gen","ITS2",4,"UTAX","OC",0.0051747132568685
"356","unite","gen","ITS2",4,"UTAX","EPQ",0.377952215828983
"357","unite","gen","ITS2",4,"CU","sensitivity",0.726780474793278
"358","unite","gen","ITS2",4,"CU","MC",0.273219525206722
"359","unite","gen","ITS2",4,"CU","OC",0.0412376633769005
"360","unite","gen","ITS2",4,"CU","EPQ",0.240079259231033
"361","unite","fam","Full",0,"CUC","sensitivity",0.667801384194431
"362","unite","fam","Full",0,"CUC","MC",0.332198615805569
"363","unite","fam","Full",0,"CUC","OC",0.0149686141960406
"364","unite","fam","Full",0,"CUC","EPQ",0.241561472488561
"365","unite","fam","ITS1",0,"CUC","sensitivity",0.568234486656708
"366","unite","fam","ITS1",0,"CUC","MC",0.431765513343292
"367","unite","fam","ITS1",0,"CUC","OC",0.0174815293310186
"368","unite","fam","ITS1",0,"CUC","EPQ",0.313398660768357
"369","unite","fam","ITS2",0,"CUC","sensitivity",0.582858763011868
"370","unite","fam","ITS2",0,"CUC","MC",0.417141236988132
"371","unite","fam","ITS2",0,"CUC","OC",0.0156344930940905
"372","unite","fam","ITS2",0,"CUC","EPQ",0.302425024446978
"373","unite","fam","Full",1,"CUC","sensitivity",0.653352306934486
"374","unite","fam","Full",1,"CUC","MC",0.346647693065514
"375","unite","fam","Full",1,"CUC","OC",0.0167204860160911
"376","unite","fam","Full",1,"CUC","EPQ",0.252382776765679
"377","unite","fam","ITS1",1,"CUC","sensitivity",0.546054945054945
"378","unite","fam","ITS1",1,"CUC","MC",0.453945054945055
"379","unite","fam","ITS1",1,"CUC","OC",0.0197252747252747
"380","unite","fam","ITS1",1,"CUC","EPQ",0.329882260596546
"381","unite","fam","ITS2",1,"CUC","sensitivity",0.582904947988332
"382","unite","fam","ITS2",1,"CUC","MC",0.417095052011668
"383","unite","fam","ITS2",1,"CUC","OC",0.0236942044141119
"384","unite","fam","ITS2",1,"CUC","EPQ",0.304694809840938
"385","unite","fam","Full",2,"CUC","sensitivity",0.66739748274462
"386","unite","fam","Full",2,"CUC","MC",0.33260251725538
"387","unite","fam","Full",2,"CUC","OC",0.0123832724319935
"388","unite","fam","Full",2,"CUC","EPQ",0.241111304448698
"389","unite","fam","ITS1",2,"CUC","sensitivity",0.557638322919497
"390","unite","fam","ITS1",2,"CUC","MC",0.442361677080504
"391","unite","fam","ITS1",2,"CUC","OC",0.0129041021461559
"392","unite","fam","ITS1",2,"CUC","EPQ",0.319659512813547
"393","unite","fam","ITS2",2,"CUC","sensitivity",0.577171891303362
"394","unite","fam","ITS2",2,"CUC","MC",0.422828108696638
"395","unite","fam","ITS2",2,"CUC","OC",0.013292201605952
"396","unite","fam","ITS2",2,"CUC","EPQ",0.305817849527871
"397","unite","fam","Full",3,"CUC","sensitivity",0.648711156393276
"398","unite","fam","Full",3,"CUC","MC",0.351288843606724
"399","unite","fam","Full",3,"CUC","OC",0.0164289353031075
"400","unite","fam","Full",3,"CUC","EPQ",0.255614584091405
"401","unite","fam","ITS1",3,"CUC","sensitivity",0.528674476901826
"402","unite","fam","ITS1",3,"CUC","MC",0.471325523098174
"403","unite","fam","ITS1",3,"CUC","OC",0.0134547500895278
"404","unite","fam","ITS1",3,"CUC","EPQ",0.340505302238561
"405","unite","fam","ITS2",3,"CUC","sensitivity",0.554811972371451
"406","unite","fam","ITS2",3,"CUC","MC",0.445188027628549
"407","unite","fam","ITS2",3,"CUC","OC",0.0225633154259401
"408","unite","fam","ITS2",3,"CUC","EPQ",0.324438109856375
"409","unite","fam","Full",4,"CUC","sensitivity",0.695187212612218
"410","unite","fam","Full",4,"CUC","MC",0.304812787387782
"411","unite","fam","Full",4,"CUC","OC",0.0219400043792424
"412","unite","fam","Full",4,"CUC","EPQ",0.223991992242485
"413","unite","fam","ITS1",4,"CUC","sensitivity",0.586024435264129
"414","unite","fam","ITS1",4,"CUC","MC",0.413975564735871
"415","unite","fam","ITS1",4,"CUC","OC",0.0157994198822185
"416","unite","fam","ITS1",4,"CUC","EPQ",0.300210951920541
"417","unite","fam","ITS2",4,"CUC","sensitivity",0.628463065049614
"418","unite","fam","ITS2",4,"CUC","MC",0.371536934950386
"419","unite","fam","ITS2",4,"CUC","OC",0.0171334068357222
"420","unite","fam","ITS2",4,"CUC","EPQ",0.270278784060482
"421","unite","gen","Full",0,"CUC","sensitivity",0.735352295204966
"422","unite","gen","Full",0,"CUC","MC",0.264647704795034
"423","unite","gen","Full",0,"CUC","OC",0.00327399222426847
